Program;Length;WS;AS I;AS II;Test;Substitution
[>>]<+o;7;[('1', '0'), ('00', '1'), ('0', '0')];[('0', '0'), ('00', '1')];[('0000', '1'), ('00000', '0'), ('1', '0')];[('000', '0'), ('001', '0'), ('10', '1'), ('00001', '0'), ('00010', '0')];0
>+o<[>oo];9;[('0110', ''), ('110', '')];[('10', '111'), ('0111', '')];[('0', '000'), ('111', ''), ('11', '')];[('00', '111'), ('1000', '1110000'), ('1001', '1110011'), ('001', '11111'), ('1010', '1111100')];0
>>-<+o<[>o];11;[('0', '001'), ('010', '')];[('01110', ''), ('1110', '')];[('110', ''), ('11', ''), ('0', '001')];[('1111', ''), ('00', '111'), ('0100', ''), ('111', ''), ('01111', '')];0
>+o<[+o>];9;[('011', ''), ('101', '1')];[('01111', ''), ('1111', '')];[('0110', ''), ('0111', ''), ('10', '1')];[('10000', '1'), ('111', ''), ('110', ''), ('10001', '1'), ('1000', '1')];0
>+[<]>o>oo;10;[('0100', '000')];[('01100', '100'), ('1100', '000')];[('00', '011'), ('0', '000'), ('10', '111')];[('1101', '011'), ('11', ''), ('1110', '100'), ('1111', '111'), ('0011', '011')];0
+o>+[<-o];9;[('010', '1'), ('1', ''), ('10', '')];[('0110', '1'), ('110', '')];[('0111', '1'), ('1', ''), ('1000', '')];[('1001', ''), ('10', ''), ('111', ''), ('1010', ''), ('1011', '')];0
>+[<[o>]]<+o;12;[('111', ''), ('1110', '')];[('0', '001'), ('00', '01')];[('1000', '11001'), ('01', '1'), ('10', '11')];[('000', '0101'), ('1001', '1101'), ('001', '011'), ('01000', '1'), ('1010', '11101')];0
>+[>-[<]>o-];12;[('011', ''), ('0100', '')];[('0011', '0'), ('00011', '10')];[('0100', ''), ('0', '0'), ('00100', '0')];[('0101', ''), ('0110', ''), ('011', ''), ('00', '0'), ('00101', '0')];0
>+[<[o<-]]>o;12;[('1', '11'), ('010', '0')];[('1011', '11'), ('10', '11')];[('11', ''), ('1100', '0'), ('011', '1')];[('0', '01'), ('11011', '0'), ('100', '11'), ('11100', '1'), ('11101', '1')];0
[>+>]<+o;8;[('1101', '0'), ('0', '1')];[('0', '1'), ('0111', '0')];[('110', '1'), ('10', ''), ('10110', '1')];[('11', '0'), ('1000', ''), ('1001', '0'), ('00', ''), ('111', '1')];0
>+<[>]<+o;9;[('1011', ''), ('01', '1')];[('1011', ''), ('10', '')];[('01011', '1'), ('1100', ''), ('01100', '1')];[('01', '1'), ('1101', ''), ('011', '1'), ('1110', ''), ('01101', '1')];0
>-[<[o<+]]>o;12;[('100', '0'), ('0', '00')];[('11100', '10'), ('1', '10')];[('1100', '10'), ('11101', '10'), ('1101', '10')];[('01', '00'), ('100', '0'), ('1110', '10'), ('11110', '10'), ('1111', '10')];0
>-[>+[<]>o+];12;[('0011', ''), ('101', '')];[('1011', ''), ('011', '')];[('11011', '1'), ('1', '1'), ('11100', '01')];[('1100', '1'), ('11101', '0'), ('11110', '1'), ('100', ''), ('11111', '1')];0
>-[<[o>]]<-o;12;[('1', '110'), ('001', '')];[('1', '110'), ('01', '00')];[('10000', '0'), ('10001', '0'), ('10', '0')];[('000', ''), ('11', '10'), ('10010', '0'), ('001', ''), ('0000', '')];0
>+[+[<]>o];10;[('001', '1'), ('111', '')];[('00110', '1101'), ('00111', '111')];[('110', ''), ('01000', ''), ('1', '11')];[('01001', ''), ('0110', ''), ('0111', ''), ('111', ''), ('01010', '')];0
>>+<-o<[>o];11;[('01101', '00')];[('10100', ''), ('10101', '')];[('10110', ''), ('0100', '0010'), ('1', '110')];[('01', '000'), ('0101', '0011'), ('0110', '00'), ('10111', ''), ('10', '')];0
>-o<[>oo];9;[('1', '111'), ('001', '')];[('1011', ''), ('1', '111')];[('01', '000'), ('1100', '0000000'), ('011', '00011')];[('11011', '000001111'), ('1101', '0000011'), ('11', '000'), ('100', ''), ('11100', '000110000')];0
[>+]<-o;7;[('111', '0'), ('010', '')];[('110', '0'), ('1', 'TIMEOUT')];[('1101', '0'), ('0', 'TIMEOUT'), ('1110', '0')];[('111', '0'), ('11101', '0'), ('011', ''), ('010', ''), ('10', 'TIMEOUT')];0
>+[<<-o];8;[('10', '1'), ('100', '1')];[('10', '1'), ('010', '')];[('0001', '1'), ('00001', '1'), ('00010', '1')];[('1', '1'), ('0', '1'), ('11', ''), ('00011', '1'), ('0010', '1')];0
-[o<]>+ooo;10;[('0110', ''), ('010', '')];[('1', '0111'), ('0110', '')];[('00110', '111'), ('110', '0111'), ('0111', '')];[('1000', '0111'), ('111', '0111'), ('11', '0111'), ('00111', '111'), ('1001', '0111')];0
[>+[o<]]<-o;11;[('1', '01'), ('0101', '')];[('010', ''), ('11010', '0')];[('1010', '11'), ('011', ''), ('1', '01')];[('1011', '11'), ('1100', '0'), ('11011', '0'), ('1101', '0'), ('1110', '0')];0
>+[<[o<-]-]o;12;[('010', ''), ('00', '01')];[('10', '11'), ('1', '11')];[('001', '01'), ('010', ''), ('011', '')];[('00001', '01'), ('0001', '01'), ('00010', '01'), ('100', '11'), ('11', '')];0
>+[+o<oo<];10;[('1100', ''), ('011', '')];[('1', '111'), ('00', '')];[('10', ''), ('0000', ''), ('11', '')];[('000', ''), ('001', ''), ('0001', ''), ('010', ''), ('011', '')];0
>+[+o<<+>]o;11;[('00101', ''), ('1', '1')];[('010', ''), ('1', '1')];[('1010', ''), ('11', ''), ('011', '')];[('1011', ''), ('01010', ''), ('1100', ''), ('1101', ''), ('1110', '')];0
->+[+o<+];9;[('111', ''), ('0111', '')];[('1101', ''), ('10', '')];[('101', ''), ('110', ''), ('1110', '')];[('1111', ''), ('1', '1'), ('11101', ''), ('111', ''), ('011', '')];0
[>]<-o<>oo;10;[('0100', ''), ('0', ''), ('00', '')];[('010', ''), ('00010', '')];[('00011', '000'), ('00100', ''), ('00101', '000')];[('0010', ''), ('0011', '000'), ('11', '000'), ('00', ''), ('00110', '')];0
+>-[<+o+]o;10;[('110', '00'), ('01', '')];[('0', ''), ('101', '')];[('110', '00'), ('01', ''), ('11', '00')];[('11101', '00'), ('00', ''), ('1101', '00'), ('1110', '00'), ('111', '00')];0
>-[<[o<-]-]o;12;[('11', '11'), ('', ''), ('001', '')];[('11100', '11'), ('1100', '11')];[('00', ''), ('100', ''), ('101', '')];[('110', '11'), ('1', '11'), ('111', '11'), ('000', ''), ('1101', '11')];0
>+[-[<]<-o]o;12;[('111', ''), ('100', ''), ('0', '')];[('01', ''), ('0001', '')];[('0010', ''), ('10001', ''), ('001', '')];[('010', ''), ('011', ''), ('100', ''), ('0', ''), ('101', '')];0
>-[<-o+o];9;[('01', ''), ('00', ''), ('101', '')];[('10100', ''), ('00', '')];[('10101', ''), ('100', ''), ('0100', '')];[('10110', ''), ('10111', ''), ('0101', ''), ('0110', ''), ('101', '')];0
->-o[<+]oo;10;[('01', '0'), ('0', '1'), ('1', '1')];[('0011', ''), ('0', '1')];[('00011', ''), ('00100', ''), ('00101', '')];[('0100', '0'), ('00', ''), ('011', '0'), ('00110', ''), ('00111', '')];0
[>>]+[<-o];10;[('01', '0'), ('1110', '')];[('00100', '1'), ('0100', '')];[('00101', '10'), ('0', '1'), ('0101', '0')];[('01', '0'), ('00110', '1'), ('00111', '1000'), ('10', ''), ('11', '001')];0
>+[>-o>];8;[('1', '1'), ('000', ''), ('0', '1')];[('0101', ''), ('10101', '00')];[('10110', '0'), ('0110', ''), ('01', '')];[('110', ''), ('10111', '00'), ('10', '1'), ('111', ''), ('100', '')];0
>[<-]>-o;8;[('100', ''), ('1010', '')];[('1011', ''), ('01', '0')];[('01011', '0'), ('01100', '0'), ('100', '')];[('01101', '0'), ('1100', ''), ('10', ''), ('1', '1'), ('00', '')];0
[>+oo+>]<-o;11;[('111', ''), ('1', '000')];[('1101', ''), ('01', '')];[('1110', ''), ('101', '11000'), ('10', '111')];[('110', ''), ('00', '111'), ('1111', ''), ('111', ''), ('01101', '')];0
+>+[-<+o+]o;11;[('1110', ''), ('011', '')];[('01', ''), ('0001', '')];[('10001', '00'), ('0', ''), ('10', '00')];[('00', ''), ('0010', ''), ('0011', ''), ('0100', ''), ('0101', '')];0
>+[<[+>]<-o];12;[('10', '11'), ('110', '')];[('01', ''), ('001', '10')];[('010', ''), ('011', ''), ('100', '01')];[('1001', '1111'), ('1', '01'), ('101', '11'), ('110', ''), ('111', '')];0
+>+[<+o+]o;10;[('101', '00'), ('01', '')];[('0101', ''), ('0110', '')];[('101', '00'), ('01', ''), ('110', '')];[('0', ''), ('0111', ''), ('10', '00'), ('1000', '00'), ('111', '')];0
>+[<-o+]>>o;11;[('11110', '1'), ('0', '')];[('1101', '1'), ('01', '')];[('01101', '0'), ('0', ''), ('101', '011')];[('1110', '0'), ('10', '011'), ('1111', '1'), ('01110', '1'), ('110', '')];0
>+[<-o+o];9;[('001', ''), ('0001', '')];[('11100', ''), ('1100', '')];[('00', ''), ('11101', ''), ('01', '')];[('100', '011'), ('11110', ''), ('101', '011'), ('0', ''), ('110', '')];0
>+[<<-o->]oo;12;[('1', '1'), ('10', '1'), ('0', '1')];[('111', ''), ('11', '')];[('0111', ''), ('010', ''), ('10', '1')];[('1000', '1'), ('10111', '1'), ('0', '1'), ('11000', ''), ('1001', '1')];0
>+[<[o-]-]o;11;[('0010', '0'), ('', ''), ('0', '0')];[('10100', '10'), ('00', '0')];[('10', '10'), ('100', '10'), ('0100', '')];[('11', ''), ('0', '0'), ('101', '10'), ('110', ''), ('10101', '10')];0
>+[>-o<+<o];11;[('01101', ''), ('01', '')];[('0', '100'), ('110', '')];[('111', ''), ('0110', ''), ('10110', '011')];[('10111', '011'), ('000', ''), ('11000', ''), ('0111', ''), ('1000', '')];0
>-<[>]<-o;9;[('100', '0'), ('000', '')];[('01100', ''), ('10', '0')];[('1', '0'), ('100', '0'), ('11', '')];[('101', '0'), ('01101', '0'), ('01110', ''), ('110', ''), ('01111', '0')];0
[>->]<-o;8;[('1110', '1'), ('1', '0')];[('00100', '0'), ('00101', '0')];[('0101', ''), ('1', '0'), ('100', '0')];[('00', '1'), ('0110', '1'), ('01', ''), ('10', '1'), ('11', '')];0
>-[<]>>-o;9;[('000', '1'), ('110', '')];[('1100', ''), ('1101', '')];[('1', '0'), ('11', ''), ('11011', '')];[('11100', ''), ('11101', ''), ('00', '1'), ('011', ''), ('100', '1')];0
>-[<>-o<-]o;11;[('11011', ''), ('', '00')];[('10111', ''), ('0111', '')];[('11000', ''), ('1000', ''), ('1', '0')];[('11001', ''), ('11010', ''), ('111', ''), ('100', ''), ('11011', '')];0
>-[>+o<-<-];11;[('00100', ''), ('10', '')];[('110', '100'), ('11110', '')];[('11', '000'), ('11111', ''), ('11010', '100')];[('1', '010'), ('111', ''), ('010', '1'), ('1110', ''), ('01', '0')];0
>-[<]>[o-o];11;[('1100', '100')];[('010', '0'), ('01010', '0')];[('1010', '100'), ('1011', '100'), ('1100', '100')];[('1', '100'), ('1101', '100'), ('011', '0'), ('100', '0'), ('11', '100')];0
-[o>]+>-[<o];12;[('1', '000'), ('001', '')];[('0011', ''), ('1', '000')];[('00011', ''), ('011', '0'), ('00100', '')];[('0100', '0'), ('100', '0000000'), ('101', '0010100'), ('00101', ''), ('00110', '')];0
>-[[<]->o-];11;[('1', '1'), ('00010', '')];[('1', '1'), ('01', '0')];[('1000', ''), ('000', ''), ('10', '')];[('001', ''), ('1001', ''), ('11', '1'), ('010', '0'), ('011', '0')];0
>-[[<]>o>+];11;[('11', '11'), ('100', '')];[('1', '1'), ('000', '')];[('01', '00'), ('10', ''), ('00000', '')];[('001', ''), ('11', '11'), ('010', '00'), ('011', '00'), ('00001', '')];0
>-[-<+o+]o;10;[('1000', ''), ('001', '')];[('1101', ''), ('01101', '1')];[('1', ''), ('10', ''), ('101', '')];[('110', ''), ('111', ''), ('11', ''), ('01', '1'), ('011', '1')];0
>-[<+o<>+o];11;[('01', '1'), ('000', ''), ('1', '')];[('1', ''), ('01', '1')];[('000', ''), ('10', ''), ('001', '')];[('1000', ''), ('11', ''), ('01000', '1'), ('1001', ''), ('010', '1')];0
->-[<-o+o];10;[('11', ''), ('010', '1'), ('1', '')];[('01100', '1'), ('100', '')];[('1100', ''), ('1', ''), ('1101', '')];[('101', ''), ('01', '1'), ('10', ''), ('01101', '1'), ('1110', '')];0
-[o<+]>-o;9;[('', '10'), ('111', '00')];[('010', '0'), ('', '10')];[('011', '0'), ('11', '00'), ('11010', '00')];[('01', '0'), ('1010', '00'), ('1011', '00'), ('11011', '00'), ('100', '00')];0
-[-o<-]>+o;10;[('1', ''), ('000', '1'), ('10', '')];[('1', ''), ('00', '1')];[('0000', '1'), ('10', ''), ('000', '1')];[('11', ''), ('001', '1'), ('010', ''), ('011', ''), ('100', '')];0
-[o-<+]>+o;10;[('110', '00'), ('', '10')];[('10111', '00'), ('0111', '')];[('111', '00'), ('1', '00'), ('11000', '00')];[('1000', '00'), ('11', '00'), ('1001', '00'), ('10', '00'), ('11001', '00')];0
-[oo>]>+o;9;[('1', '000'), ('00', '1')];[('1', '000'), ('101', '0000110')];[('110', '0011000'), ('11101', '00111100110'), ('10', '00000')];[('11', '00110'), ('00', '1'), ('111', '0011110'), ('000', '1'), ('1101', '001100110')];0
-[o<-o]>+o;10;[('001', '1'), ('00', '1')];[('01100', ''), ('1100', '011')];[('01101', ''), ('100', '011'), ('1101', '011')];[('1110', '011'), ('00', '1'), ('10', '011'), ('1111', '011'), ('1011', '011')];0
>+[>+<+]>o;10;[('', '1'), ('1', '1'), ('100', '1')];[('1100', '0'), ('10', '0')];[('1101', '0'), ('', '1'), ('11100', '1')];[('1', '1'), ('11', ''), ('100', '1'), ('11101', '1'), ('101', '')];0
>+[-<+o+]o;10;[('00011', '1'), ('1', '')];[('101', ''), ('10', '')];[('1101', ''), ('1110', ''), ('110', '')];[('1', ''), ('111', ''), ('010', ''), ('01101', ''), ('001', '1')];0
>+[<+o<>+o];11;[('01100', ''), ('11', '')];[('10', ''), ('10101', '')];[('101', ''), ('1', ''), ('10110', '')];[('0101', ''), ('110', ''), ('111', ''), ('11', ''), ('001', '1')];0
->+[<-o+o];10;[('100', ''), ('1', ''), ('101', '')];[('101', ''), ('1101', '')];[('10', ''), ('1110', ''), ('1111', '')];[('0111', ''), ('1000', ''), ('11', ''), ('1001', ''), ('00', '1')];0
>+[>-o<+<-];11;[('111', ''), ('0000', '')];[('111', ''), ('0111', '')];[('1', '100'), ('10111', '010'), ('11000', '')];[('11001', ''), ('10', '110'), ('1000', ''), ('1001', ''), ('1010', '010')];0
>+[<-<-o>o]o;12;[('', '11'), ('1', '10'), ('11', '')];[('11100', ''), ('00', '1')];[('1100', ''), ('10', '10'), ('11', '')];[('100', '10'), ('1', '10'), ('101', '10'), ('110', ''), ('11101', '')];0
>+[+[o<-]];10;[('00001', ''), ('00', '')];[('10', ''), ('1', '101')];[('001', ''), ('11', ''), ('010', '')];[('00', ''), ('011', ''), ('0001', ''), ('100', ''), ('0010', '')];0
>[<]>+o;7;[('01010', '1'), ('', '0')];[('011', '1'), ('10011', '')];[('11', ''), ('01', '1'), ('0011', '1')];[('0100', '1'), ('100', ''), ('0101', '1'), ('1', '0'), ('10100', '')];0
[[>]<-<+o];10;[('110', ''), ('', ''), ('1010', '')];[('1111', ''), ('0011', '')];[('', ''), ('01111', ''), ('111', '')];[('10000', '11'), ('10001', '1'), ('10010', ''), ('10011', ''), ('10100', '1')];0
>-[<o->-];9;[('01', '0'), ('', ''), ('010', '0')];[('10', ''), ('0101', '0')];[('101', ''), ('', ''), ('00101', '')];[('110', '1'), ('111', '1'), ('0110', '0'), ('001', ''), ('010', '0')];0
+>-[<-o-];9;[('11', '11'), ('', ''), ('001', '')];[('110', '11'), ('', '')];[('111', '11'), ('0110', '0'), ('101', '')];[('0111', '0'), ('1000', ''), ('1001', ''), ('1010', ''), ('1011', '')];0
>[<-]+o;7;[('', '0'), ('01010', '0')];[('', '0'), ('01111', '0')];[('11', ''), ('1111', ''), ('0', '0')];[('10000', ''), ('10001', ''), ('10010', ''), ('10011', ''), ('0111', '0')];0
>-[-o<+o<];10;[('', '00'), ('01', ''), ('100', '')];[('', '00'), ('101', '')];[('1101', ''), ('11101', ''), ('110', '')];[('10', ''), ('11', ''), ('1110', ''), ('111', ''), ('11110', '')];0
>-[[<-]-o];10;[('', ''), ('11', ''), ('010', '1'), ('1', '')];[('10', ''), ('', '')];[('001', ''), ('1001', ''), ('010', '1')];[('011', '1'), ('100', ''), ('11001', ''), ('101', ''), ('110', '')];0
>-[<+]<+o>o;11;[('11010', '0'), ('', ''), ('0', '')];[('01', ''), ('11', '0')];[('00', '1'), ('1001', ''), ('11001', '0')];[('', ''), ('1010', ''), ('1011', ''), ('1100', '0'), ('11010', '0')];0
>-[-[o<+]];10;[('0', '010'), ('100', '')];[('010', ''), ('11', '')];[('011', ''), ('100', ''), ('11010', '')];[('0', '010'), ('01', ''), ('1010', ''), ('11011', ''), ('1011', '')];0
>-[<+<+o>o]o;12;[('110', '0'), ('0', '01')];[('010', '01'), ('1010', '')];[('11', '0'), ('1011', ''), ('00', '')];[('1100', '0'), ('01', '01'), ('0', '01'), ('1101', '0'), ('011', '01')];0
>-[>+o<-<+];11;[('0', '011'), ('100', '')];[('10', ''), ('11', '0')];[('11001', '1'), ('001', ''), ('11010', '1')];[('01', '001'), ('1001', ''), ('010', '101'), ('011', ''), ('100', '')];0
+>-[<+o-o];10;[('100', ''), ('11', '0'), ('0', '')];[('0111', ''), ('00111', '')];[('0', ''), ('00', ''), ('01000', '')];[('11', '0'), ('01', ''), ('111', '0'), ('1000', ''), ('1001', '')];0
>-[<-o<>-o];11;[('011', ''), ('11', '0'), ('0', '')];[('01', ''), ('1001', '')];[('1010', ''), ('001', ''), ('11', '0')];[('1011', ''), ('1100', '0'), ('00', ''), ('01001', ''), ('1101', '0')];0
>-[+<-o-]o;10;[('', '11'), ('00100', '')];[('0011', ''), ('0', '')];[('00011', ''), ('00100', ''), ('00101', '')];[('011', ''), ('100', ''), ('101', ''), ('110', '0'), ('00110', '')];0
+>-[<+]>o<o;11;[('01110', '0'), ('', ''), ('1', '')];[('10100', '1'), ('10101', '1')];[('100', '0'), ('10110', '1'), ('101', '1')];[('', ''), ('00', ''), ('10111', '1'), ('01', '0'), ('11000', '')];0
>-[<-]>o>o;10;[('1011', '11'), ('1', '')];[('111', ''), ('11111', '')];[('1111', ''), ('0110', '01'), ('110', '')];[('010', '00'), ('11', ''), ('011', '01'), ('', ''), ('0111', '01')];0
>-o[<-]o;8;[('', '1'), ('1011', ''), ('1', '1')];[('11', '0'), ('', '1')];[('01110', '0'), ('1110', '0'), ('110', '0')];[('1111', '0'), ('01111', '0'), ('00', ''), ('111', '0'), ('10000', '')];0
+o>-[<+o];9;[('100', ''), ('101', ''), ('1', '')];[('0011', '1'), ('0100', '1')];[('00011', '1'), ('011', '1'), ('100', '')];[('0101', '1'), ('00100', '1'), ('00', '1'), ('11', ''), ('00101', '1')];0
>-o<-[-o>];10;[('1', '1'), ('1110', '0')];[('1', '1'), ('1000', '')];[('00', ''), ('000', ''), ('01', '0')];[('001', ''), ('010', '0'), ('011', '0'), ('11', '0'), ('100', '')];0
>-[o[<]>>+];11;[('001', ''), ('1', '1'), ('00', '')];[('11110', '01'), ('1', '1')];[('110', '01'), ('1110', '01'), ('11', '01')];[('00', ''), ('1111', '01'), ('1100', '01'), ('01', '01'), ('111', '01')];0
>[<+]<o;7;[('1100', ''), ('001', '')];[('11101', ''), ('0', '0')];[('1101', ''), ('1110', ''), ('11', '')];[('11110', ''), ('01', ''), ('', ''), ('11111', ''), ('10111', '')];0
+[>]>-o;7;[('0', '1'), ('', '1'), ('110', '0')];[('01', '1'), ('0', '1')];[('010', '1'), ('11', '0'), ('', '1')];[('011', '1'), ('0010', '1'), ('0011', '1'), ('00010', '1'), ('00011', '1')];0
>-[<o+>-];9;[('01', '0'), ('', ''), ('011', '0')];[('01100', '0'), ('01', '0')];[('', ''), ('10', ''), ('11', '1')];[('100', ''), ('101', ''), ('01101', '0'), ('110', '1'), ('1100', '1')];0
+[o<+o]>-o;10;[('100', ''), ('1000', '')];[('1110', '0'), ('11110', '0')];[('0', '100'), ('1111', '0'), ('1101', '0')];[('11111', '0'), ('0011', '100'), ('01101', '100'), ('0100', '100'), ('01110', '100')];0
+[oo>]>-o;9;[('0', '111'), ('11', '0')];[('1011', ''), ('1100', '0')];[('01', '11111'), ('11', '0'), ('011', '1111111')];[('1101', '0'), ('0', '111'), ('100', ''), ('01011', '11110011111'), ('1110', '0')];0
+[o+<-]>-o;10;[('', '01'), ('10010', '')];[('01', '11'), ('1101', '0')];[('0', '11'), ('11', '0'), ('1110', '0')];[('00', '11'), ('1111', '0'), ('0001', '11'), ('0010', '11'), ('11101', '0')];0
+[+o<+]>-o;10;[('101', ''), ('11', '0'), ('0', '')];[('111', '0'), ('0', '')];[('101', ''), ('110', '0'), ('11111', '0')];[('010', ''), ('00111', ''), ('1111', '0'), ('01000', ''), ('01001', '')];0
>+o[<-]o;8;[('00', '1'), ('1', '0'), ('01', '')];[('01', ''), ('001', '1')];[('10001', '1'), ('10', '1'), ('00', '1')];[('0001', '1'), ('0010', '1'), ('010', ''), ('0011', '1'), ('', '0')];0
>+[<o->+];9;[('101', '1'), ('011', '')];[('', ''), ('11', '')];[('01111', ''), ('10000', '1'), ('10001', '1')];[('10010', '1'), ('10011', '1'), ('1111', ''), ('10', '1'), ('10100', '1')];0
+>+[<-o-];9;[('10', '11'), ('00', '0')];[('01100', ''), ('1100', '')];[('01101', ''), ('1101', ''), ('00', '0')];[('10', '11'), ('11', ''), ('', ''), ('100', '11'), ('1110', '')];0
>+o<-[>oo];10;[('1', '000'), ('011', '')];[('010', ''), ('10', '111')];[('0010', '1'), ('0011', '1'), ('00', '1')];[('011', ''), ('0100', ''), ('00010', '1'), ('0101', ''), ('01', '')];0
>+[>+o<-<-];11;[('010', ''), ('1110', '')];[('01', ''), ('0001', '1')];[('001', ''), ('10001', '110'), ('0010', '')];[('010', ''), ('10010', '110'), ('1', '000'), ('0011', ''), ('0100', '')];0
>+[<-]>o>oo;11;[('1', ''), ('', ''), ('000', '100')];[('01', ''), ('10', '')];[('00', '1'), ('10001', ''), ('0001', '100')];[('001', '111'), ('010', '0'), ('10010', ''), ('1', ''), ('0010', '111')];0
>+[<-][o-]>o;12;[('11010', '0'), ('', ''), ('1', '')];[('01111', '1'), ('111', '1')];[('1111', '1'), ('10000', ''), ('00', '1')];[('10', ''), ('1', ''), ('0100', '0'), ('10001', ''), ('100', '')];0
>+[<-][o>]>o;12;[('10010', ''), ('10', '')];[('11100', '1'), ('100', '')];[('1100', '0'), ('101', ''), ('1101', '0')];[('1', ''), ('110', '0'), ('111', '1'), ('00', '1'), ('01', '')];0
>+[<-]>o<oo;11;[('', ''), ('10', ''), ('110', '0'), ('1', '')];[('010', '0'), ('1', '')];[('011', '1'), ('100', ''), ('10', '')];[('10010', ''), ('0010', '1'), ('10011', ''), ('10100', ''), ('101', '')];0
+[o>]>+o;8;[('1001', '1'), ('', '00')];[('010', '1100'), ('', '00')];[('1010', '1'), ('11010', ''), ('10', '1')];[('11011', ''), ('11100', ''), ('11101', ''), ('00', '100'), ('1011', '1')];0
+[o<-]>+o;9;[('11100', ''), ('', '01')];[('01101', '11'), ('01110', '11')];[('01', '11'), ('', '01'), ('10', '1')];[('101', '1'), ('01111', '11'), ('110', ''), ('10000', '1'), ('00', '11')];0
+>+[<+o-o];10;[('11011', ''), ('00', '')];[('1101', ''), ('0', '')];[('01', ''), ('101', '0'), ('110', '')];[('10', '0'), ('111', ''), ('011', ''), ('01101', ''), ('1110', '')];0
>+[<-o<>-o];11;[('11000', ''), ('00', '')];[('0', ''), ('0000', '')];[('000', ''), ('00', ''), ('01', '')];[('001', ''), ('010', ''), ('10', '0'), ('0001', ''), ('011', '')];0
>+[+<-o-]o;10;[('10010', '0'), ('0', '')];[('1011', '0'), ('011', '')];[('01011', ''), ('10', '0'), ('0', '')];[('1100', ''), ('01100', ''), ('01', ''), ('01101', ''), ('01110', '')];0
>-[<]>+o;8;[('00', '0'), ('1111', '')];[('', ''), ('00', '0')];[('0000', '1'), ('0001', '1'), ('01', '1')];[('1', ''), ('00000', '1'), ('000', '1'), ('001', ''), ('010', '1')];0
+[o<]>+oo;9;[('', '011'), ('011', '1')];[('01', '1'), ('', '011')];[('001', '1'), ('01001', '1'), ('01010', '1')];[('1001', '11'), ('1010', '11'), ('1011', '11'), ('010', '1'), ('01011', '1')];0
>+[[<+]+o];10;[('0010', ''), ('', ''), ('0', ''), ('00', '')];[('0111', ''), ('111', '')];[('10', '0'), ('101', '0'), ('110', '')];[('011', ''), ('1000', '0'), ('', ''), ('1001', '0'), ('11', '')];0
>+[+o<-o<];10;[('', '11'), ('011', ''), ('00', '')];[('101', ''), ('', '11')];[('110', ''), ('1101', ''), ('1110', '')];[('1111', ''), ('111', ''), ('010', ''), ('10', ''), ('1010', '')];0
+o>+[<+o];9;[('00010', '1'), ('1', '')];[('1011', ''), ('011', '1')];[('01', '1'), ('1', ''), ('01011', '1')];[('01100', '1'), ('1100', ''), ('01101', '1'), ('10', ''), ('1101', '')];0
>+[<-<-o>]oo;12;[('10101', '1'), ('', '1')];[('0011', '1'), ('011', '')];[('10', '1'), ('00011', '1'), ('0100', '')];[('0101', ''), ('100', '1'), ('0110', ''), ('0111', ''), ('01', '')];0
>[<+>+]<o;9;[('', ''), ('111', ''), ('1100', '')];[('1', '1'), ('10', '0')];[('11', ''), ('0110', '1'), ('00110', '')];[('0111', '1'), ('110', ''), ('1000', '0'), ('1001', '0'), ('', '')];0
>[+>]<o;7;[('000', '1'), ('', ''), ('001', '')];[('1100', '1'), ('100', '1')];[('', ''), ('1101', ''), ('101', '')];[('0', '0'), ('01100', '1'), ('110', '1'), ('10', '1'), ('1110', '1')];0
->+[<+o+];9;[('0111', ''), ('10', '1')];[('00111', '00'), ('0111', '')];[('1000', '1'), ('111', ''), ('100', '1')];[('01000', ''), ('01001', ''), ('', ''), ('1001', '1'), ('00', '00')];0
>+[<o+>+];9;[('011', ''), ('1101', '')];[('0011', '0'), ('0100', '')];[('0101', ''), ('10011', '1'), ('011', '')];[('0110', ''), ('100', '1'), ('00', '0'), ('0111', ''), ('10100', '1')];0
>+<[+[o>]>];11;[('100', '1'), ('', ''), ('110', '')];[('01', '1'), ('0101', '111')];[('00101', '11101'), ('101', ''), ('0110', '11')];[('00110', '11110'), ('00111', '11111'), ('0111', '1'), ('10', ''), ('1000', '10')];0
>+[[<]>o>-];11;[('01100', ''), ('0', '0')];[('0', '0'), ('110', '')];[('1110', ''), ('1111', ''), ('0000', '00')];[('111', ''), ('11', ''), ('0001', '00'), ('00', '00'), ('0010', '00')];0
>+[[<]+>o+];11;[('0100', ''), ('110', '')];[('0', '0'), ('0000', '0')];[('00', '0'), ('000', '0'), ('0001', '0')];[('10', '1'), ('0010', '0'), ('0011', '0'), ('11', ''), ('001', '0')];0
+[o>]->+[<o];12;[('0', '111'), ('111', '')];[('00100', '10100100101'), ('0', '111')];[('00', '10101'), ('01', '11111'), ('10', '1')];[('0100', '110010011'), ('100', '1'), ('0101', '110111011'), ('101', '1'), ('110', '')];0
>+[<]>[o+o];11;[('0011', '011')];[('010', '011'), ('01010', '011')];[('1010', '1'), ('01011', '011'), ('011', '1')];[('0', '011'), ('01100', '1'), ('11', ''), ('01101', '1'), ('1011', '1')];0
>+[>-o<+<+];11;[('00010', ''), ('01', '')];[('110', ''), ('11110', '')];[('111', ''), ('1110', ''), ('101', '0')];[('1111', ''), ('010', ''), ('0', '101'), ('0101', ''), ('10', '1')];0
