Program	Witness Set
->+[+o<+]	(('', '1'), ('0', '111'), ('01', ''))
[>]<-o<>oo	(('', '1'), ('1', '000'), ('10', ''))
+>-[<+o+]o	(('', '1'), ('1', '001'), ('10', ''))
>-[<[o<-]-]o	(('', '1'), ('0', '010'), ('10', ''))
>+[-[<]<-o]o	(('', '1'), ('1', '010'), ('10', ''))
>-[<-o+o]	(('', '1'), ('1', '011'), ('10', ''))
->-o[<+]oo	(('', '1'), ('1', '100'), ('10', ''))
[>>]+[<-o]	(('', '1'), ('1', '101'), ('10', ''))
>+[>-o>]	(('', '1'), ('001', '0'), ('11', ''))
>[<-]>-o	(('', '1'), ('011', '0'), ('11', ''))
[>+oo+>]<-o	(('', '1'), ('0', '000'), ('11', ''))
+>+[-<+o+]o	(('', '1'), ('1', '000'), ('11', ''))
>+[<[+>]<-o]	(('', '1'), ('0', '001'), ('11', ''))
+>+[<+o+]o	(('', '1'), ('1', '001'), ('11', ''))
>+[<-o+]>>o	(('', '1'), ('1', '010'), ('11', ''))
>+[<-o+o]	(('', '1'), ('1', '011'), ('11', ''))
>+[<<-o->]oo	(('', '1'), ('1', '100'), ('11', ''))
>+[<[o-]-]o	(('', '1'), ('1', '101'), ('11', ''))
>+[>-o<+<o]	(('', '1'), ('1', '110'), ('11', ''))
>-<[>]<-o	(('', '1'), ('0', '0'), ('0000', ''))
[>->]<-o	(('', '1'), ('0', '0'), ('0001', ''))
>-[<]>>-o	(('', '1'), ('0', '0'), ('1000', ''))
>-[<>-o<-]o	(('', '001'), ('0', '0'), ('00', ''))
>-[>+o<-<-]	(('', '011'), ('0', '0'), ('00', ''))
>-[<]>[o-o]	(('', '100'), ('0', '0'), ('00', ''))
-[o>]+>-[<o]	(('', '101'), ('0', '0'), ('00', ''))
>-[[<]->o-]	(('', '110'), ('0', '0'), ('00', ''))
>-[[<]>o>+]	(('', '111'), ('0', '0'), ('00', ''))
>-[-<+o+]o	(('', '000'), ('0', '1'), ('00', ''))
>-[<+o<>+o]	(('', '010'), ('0', '1'), ('00', ''))
->-[<-o+o]	(('', '011'), ('0', '1'), ('00', ''))
-[o<+]>-o	(('', '100'), ('0', '1'), ('00', ''))
-[-o<-]>+o	(('', '001'), ('0', '0'), ('01', ''))
-[o-<+]>+o	(('', '101'), ('0', '0'), ('01', ''))
-[oo>]>+o	(('', '110'), ('0', '0'), ('01', ''))
-[o<-o]>+o	(('', '111'), ('0', '0'), ('01', ''))
>+[>+<+]>o	(('0', '1'), ('00', '0'), ('01', ''))
>+[-<+o+]o	(('', '000'), ('0', '1'), ('01', ''))
>+[<+o<>+o]	(('', '010'), ('0', '1'), ('01', ''))
->+[<-o+o]	(('', '011'), ('0', '1'), ('01', ''))
>+[>-o<+<-]	(('', '101'), ('0', '1'), ('01', ''))
>+[<-<-o>o]o	(('', '110'), ('0', '1'), ('01', ''))
>+[+[o<-]]	(('', '111'), ('0', '1'), ('01', ''))
>[<]>+o	(('0', '0'), ('00', '1'), ('10', ''))
[[>]<-<+o]	(('0', '0'), ('1', '01'), ('10', ''))
>-[<o->-]	(('0', '0'), ('1', '10'), ('10', ''))
+>-[<-o-]	(('0', '0'), ('1', '11'), ('10', ''))
>[<-]+o	(('00', '0'), ('1', '0'), ('10', ''))
>-[-o<+o<]	(('0', '01'), ('1', '0'), ('10', ''))
>-[[<-]-o]	(('0', '10'), ('1', '0'), ('10', ''))
>-[<+]<+o>o	(('0', '11'), ('1', '0'), ('10', ''))
>-[-[o<+]]	(('', '000'), ('1', '0'), ('10', ''))
>-[<+<+o>o]o	(('', '001'), ('1', '0'), ('10', ''))
>-[>+o<-<+]	(('', '010'), ('1', '0'), ('10', ''))
+>-[<+o-o]	(('', '100'), ('1', '0'), ('10', ''))
>-[<-o<>-o]	(('', '101'), ('1', '0'), ('10', ''))
>-[+<-o-]o	(('', '111'), ('1', '0'), ('10', ''))
+>-[<+]>o<o	(('0', '1'), ('1', '00'), ('10', ''))
>-[<-]>o>o	(('0', '1'), ('1', '01'), ('10', ''))
>-o[<-]o	(('0', '1'), ('1', '11'), ('10', ''))
+o>-[<+o]	(('', '010'), ('0', '1'), ('10', ''))
>-o<-[-o>]	(('', '100'), ('0', '1'), ('10', ''))
>-[o[<]>>+]	(('', '101'), ('0', '1'), ('10', ''))
>[<+]<o	(('00', '0'), ('1', '1'), ('10', ''))
+[>]>-o	(('00', '1'), ('1', '1'), ('10', ''))
>-[<o+>-]	(('0', '01'), ('1', '1'), ('10', ''))
+[o<+o]>-o	(('', '000'), ('1', '1'), ('10', ''))
+[oo>]>-o	(('', '001'), ('1', '1'), ('10', ''))
+[o+<-]>-o	(('', '010'), ('1', '1'), ('10', ''))
+[+o<+]>-o	(('', '110'), ('1', '1'), ('10', ''))
>+o[<-]o	(('0', '0'), ('1', '01'), ('11', ''))
>+[<o->+]	(('0', '0'), ('1', '10'), ('11', ''))
+>+[<-o-]	(('0', '0'), ('1', '11'), ('11', ''))
>+o<-[>oo]	(('', '000'), ('0', '0'), ('11', ''))
>+[>+o<-<-]	(('', '001'), ('0', '0'), ('11', ''))
>+[<-]>o>oo	(('', '100'), ('0', '0'), ('11', ''))
>+[<-][o-]>o	(('', '101'), ('0', '0'), ('11', ''))
>+[<-][o>]>o	(('', '110'), ('0', '0'), ('11', ''))
>+[<-]>o<oo	(('', '111'), ('0', '0'), ('11', ''))
+[o>]>+o	(('0', '10'), ('1', '0'), ('11', ''))
+[o<-]>+o	(('0', '11'), ('1', '0'), ('11', ''))
+>+[<+o-o]	(('', '100'), ('1', '0'), ('11', ''))
>+[<-o<>-o]	(('', '101'), ('1', '0'), ('11', ''))
>+[+<-o-]o	(('', '111'), ('1', '0'), ('11', ''))
>-[<]>+o	(('0', '1'), ('10', '0'), ('11', ''))
+[o<]>+oo	(('0', '1'), ('1', '00'), ('11', ''))
>+[[<+]+o]	(('0', '1'), ('1', '01'), ('11', ''))
>+[+o<-o<]	(('0', '1'), ('1', '10'), ('11', ''))
+o>+[<+o]	(('', '010'), ('0', '1'), ('11', ''))
>+[<-<-o>]oo	(('', '100'), ('0', '1'), ('11', ''))
>[<+>+]<o	(('1', '1'), ('10', '0'), ('11', ''))
>[+>]<o	(('00', '1'), ('1', '1'), ('11', ''))
->+[<+o+]	(('0', '00'), ('1', '1'), ('11', ''))
>+[<o+>+]	(('0', '01'), ('1', '1'), ('11', ''))
>+<[+[o>]>]	(('0', '10'), ('1', '1'), ('11', ''))
>+[[<]>o>-]	(('', '000'), ('1', '1'), ('11', ''))
>+[[<]+>o+]	(('', '001'), ('1', '1'), ('11', ''))
+[o>]->+[<o]	(('', '010'), ('1', '1'), ('11', ''))
>+[<]>[o+o]	(('', '011'), ('1', '1'), ('11', ''))
>+[>-o<+<+]	(('', '100'), ('1', '1'), ('11', ''))
>+[<>+o<+]o	(('', '110'), ('1', '1'), ('11', ''))
->+>-[<o]	(('', '01'), ('0', '0'), ('000', ''))
>>+o<<-o	(('', '01'), ('0', '0'), ('001', ''))
>-[[<]>o-]	(('', '10'), ('0', '0'), ('000', ''))
-[o>]>>+o	(('', '10'), ('0', '0'), ('001', ''))
>+[[<-]>o-]	(('', '10'), ('0', '0'), ('110', ''))
>>+o<<+o	(('', '00'), ('1', '0'), ('101', ''))
>->-[<-o<+]	(('', '01'), ('1', '0'), ('100', ''))
>>+o[+<+]o	(('', '01'), ('1', '0'), ('101', ''))
>>-o[-<-]o	(('', '10'), ('0', '1'), ('010', ''))
>+>+[<+o<-]	(('', '10'), ('0', '1'), ('011', ''))
>>-o<<-o	(('', '11'), ('0', '1'), ('010', ''))
+[o>]>>-o	(('', '01'), ('1', '1'), ('110', ''))
>+[[<]>o+]	(('', '01'), ('1', '1'), ('111', ''))
>>-o<<+o	(('', '10'), ('1', '1'), ('110', ''))
+>->+[<o]	(('', '10'), ('1', '1'), ('111', ''))
-[+>]<o	(('0', ''), ('10', '1'), ('101', ''))
+[->]<o	(('01', '0'), ('010', ''), ('1', ''))
+>+[<oo]	(('0', '11'), ('010', ''), ('1', ''))
+[-o>]<o	(('0', '00'), ('00', '0'), ('1', ''))
+[-o>-o>]	(('0', '01'), ('00', '0'), ('1', ''))
+[>]<[o-]	(('0', '10'), ('00', '0'), ('1', ''))
>[<o]-<+oo	(('0', '11'), ('00', '0'), ('1', ''))
>-[<+o]>+o	(('', '001'), ('00', '0'), ('1', ''))
+[>>+o<-o]	(('', '010'), ('00', '0'), ('1', ''))
+[<+o>+o]	(('', '011'), ('00', '0'), ('1', ''))
+[>[<-]-o<o]	(('', '101'), ('00', '0'), ('1', ''))
+[>[o<+]-<]	(('', '110'), ('00', '0'), ('1', ''))
[>]<-<o<oo	(('', '111'), ('00', '0'), ('1', ''))
>-<+[-o>]	(('0', '00'), ('01', '0'), ('1', ''))
>+[<+]<o>o	(('0', '01'), ('01', '0'), ('1', ''))
>+[<+o]<o	(('', '000'), ('01', '0'), ('1', ''))
>+[<+o]+<o	(('', '001'), ('01', '0'), ('1', ''))
+[<+o->+o]	(('', '010'), ('01', '0'), ('1', ''))
+[>-o-oo>]	(('', '100'), ('01', '0'), ('1', ''))
+[>-o-[o+]]	(('', '101'), ('01', '0'), ('1', ''))
>-[<-]<+o<o	(('0', '00'), ('00', '1'), ('1', ''))
+o[->]<o	(('0', '10'), ('00', '1'), ('1', ''))
+[>-[>]<o<]	(('', '100'), ('00', '1'), ('1', ''))
+[>-[<]-o>]	(('', '101'), ('00', '1'), ('1', ''))
+[<-o>+o]	(('', '110'), ('00', '1'), ('1', ''))
+[<-o+>+o]	(('', '111'), ('00', '1'), ('1', ''))
>+[<+]>-o>o	(('0', '00'), ('01', '1'), ('1', ''))
>+<+[>]<o<o	(('0', '01'), ('01', '1'), ('1', ''))
>+<+[o>]	(('0', '10'), ('01', '1'), ('1', ''))
+o[>+o<+]	(('', '001'), ('01', '1'), ('1', ''))
+[>+>-[o<]]	(('', '100'), ('01', '1'), ('1', ''))
+[>>-o<+o]	(('', '101'), ('01', '1'), ('1', ''))
+[-[o<+]>-]	(('', '000'), ('0', '00'), ('1', ''))
+[>+o<<+o]	(('', '001'), ('0', '00'), ('1', ''))
+[>+[o<+]<-]	(('', '010'), ('0', '00'), ('1', ''))
+[>+o<+]>o	(('', '011'), ('0', '00'), ('1', ''))
+[-[o<+]-o]	(('', '100'), ('0', '00'), ('1', ''))
+[+[o<+]+o<-]	(('', '101'), ('0', '00'), ('1', ''))
+[>+<+]>o[o-]	(('', '110'), ('0', '00'), ('1', ''))
[<-]>+[<-o]o	(('', '111'), ('0', '00'), ('1', ''))
+[>-[-o<o+]]	(('', '000'), ('0', '01'), ('1', ''))
+[-[<]+o+]	(('', '001'), ('0', '01'), ('1', ''))
+[>>+o<-<+]>o	(('', '010'), ('0', '01'), ('1', ''))
+[>+o<<-o]	(('', '011'), ('0', '01'), ('1', ''))
+[+[o<+o]<+o]	(('', '100'), ('0', '01'), ('1', ''))
+[-[<-]-o]	(('', '101'), ('0', '01'), ('1', ''))
+[-[o<-]<-oo]	(('', '110'), ('0', '01'), ('1', ''))
+[+[o<-o]<+o]	(('', '111'), ('0', '01'), ('1', ''))
+o[>+o-<+]	(('', '000'), ('0', '10'), ('1', ''))
+[[o+]+o>]	(('', '010'), ('0', '10'), ('1', ''))
+[>+<o+]>o	(('', '011'), ('0', '10'), ('1', ''))
+[>-o-o+<+]	(('', '100'), ('0', '10'), ('1', ''))
+[>-o<-<+o]	(('', '101'), ('0', '10'), ('1', ''))
+[+[o+>]+<+]	(('', '110'), ('0', '10'), ('1', ''))
>+[+<+[>]<o<]	(('', '111'), ('0', '10'), ('1', ''))
+[o+<-]>o	(('', '011'), ('0', '11'), ('1', ''))
+[>-o<+]>o	(('', '100'), ('0', '11'), ('1', ''))
+[>+[+o<o]]	(('', '101'), ('0', '11'), ('1', ''))
[->]<-oo-<o	(('', '110'), ('0', '11'), ('1', ''))
+[+<+]oo>o	(('', '111'), ('0', '11'), ('1', ''))
>+>[<]<o	(('', '0'), ('00', '1'), ('000', ''))
>+>-[<o]	(('', '0'), ('0', '00'), ('000', ''))
>->-[<-o<]	(('', '0'), ('0', '01'), ('000', ''))
>>+[o<<]	(('', '0'), ('0', '00'), ('001', ''))
[>]<<+o	(('', '0'), ('01', '1'), ('010', ''))
[>]<-<-o>o	(('', '0'), ('1', '10'), ('100', ''))
[>-o>>]<+o	(('', '0'), ('1', '10'), ('101', ''))
-[>]<<+o	(('', '0'), ('11', '1'), ('110', ''))
>+[[<]>o-]	(('', '0'), ('1', '10'), ('110', ''))
>+[+<]>-o>o	(('', '0'), ('1', '11'), ('110', ''))
>>+[<]>o	(('', '0'), ('11', '1'), ('111', ''))
>+<[>]<+<o>o	(('', '0'), ('1', '11'), ('111', ''))
>>-[<]>o	(('', '1'), ('00', '0'), ('000', ''))
>-<[>]<-<o>o	(('', '1'), ('0', '00'), ('000', ''))
>-[[<]>o+]	(('', '1'), ('0', '01'), ('000', ''))
+[>]<<-o	(('', '1'), ('00', '0'), ('001', ''))
>-[-<]>+o>o	(('', '1'), ('0', '00'), ('001', ''))
[>+o>>]<-o	(('', '1'), ('0', '01'), ('010', ''))
>>-[o<<]	(('', '1'), ('0', '10'), ('010', ''))
[>]<+<+o>o	(('', '1'), ('0', '01'), ('011', ''))
>->+[<o]	(('', '1'), ('0', '10'), ('011', ''))
[>]<<-o	(('', '1'), ('10', '0'), ('100', ''))
>+>+[<+o<]	(('', '1'), ('1', '10'), ('111', ''))
-[+>+[<]]>o	(('', '0'), ('0', ''), ('1', '1'), ('11', ''))
+[->-[<]]>o	(('', '1'), ('0', '0'), ('00', ''), ('1', ''))
+[<+>+]<o	(('', '1'), ('0', '0'), ('1', ''), ('10', ''))
+[+>]<o	(('', '1'), ('0', ''), ('00', '1'), ('1', ''))
[>->]<+o	(('', '0'), ('0', ''), ('0110', '0'))
-[>+>]<o	(('', '0'), ('0', ''), ('1000', '1'))
-[-o]>>oo	(('', '0'), ('0', ''), ('010', '00'))
[+>o]<+o	(('', '0'), ('0', ''), ('100', '00'))
-[>>>+o<]	(('', '0'), ('0', ''), ('101', '00'))
-[-<]>o>o	(('', '0'), ('0', ''), ('001', '01'))
-[-o]>>o<o	(('', '0'), ('0', ''), ('010', '01'))
+>+[<-]+o<o	(('', '0'), ('0', ''), ('011', '01'))
-[<+o>+]	(('', '0'), ('0', ''), ('100', '01'))
-[>>+o-]	(('', '0'), ('0', ''), ('110', '10'))
-[->[>]<o]	(('', '0'), ('0', ''), ('111', '10'))
>+<-[>o]	(('', '0'), ('0', ''), ('101', '11'))
[>o>>]<+<o	(('', '0'), ('0', ''), ('110', '11'))
[+>o]<+<o	(('', '0'), ('0', ''), ('111', '11'))
-[-o]>ooo	(('', '0'), ('0', ''), ('00', '000'))
[+>]<+o<>oo	(('', '0'), ('0', ''), ('01', '000'))
-[>>+o-<o]	(('', '0'), ('0', ''), ('10', '000'))
[-o>]<+<o	(('', '0'), ('0', ''), ('11', '000'))
+[+[<+o]>]	(('', '0'), ('0', ''), ('00', '001'))
<-[>]<-[o<]	(('', '0'), ('0', ''), ('01', '001'))
-[<+o>>o]	(('', '0'), ('0', ''), ('10', '001'))
[-o+>]<+<o	(('', '0'), ('0', ''), ('11', '001'))
[>->]+[<+o]	(('', '0'), ('0', ''), ('00', '010'))
[+>]<-[-o<o]	(('', '0'), ('0', ''), ('01', '010'))
-[<+o>+]>o	(('', '0'), ('0', ''), ('10', '010'))
-[-o]>[o<-]	(('', '0'), ('0', ''), ('00', '011'))
[+>]<+o-<oo	(('', '0'), ('0', ''), ('01', '011'))
-[<+o>+o]	(('', '0'), ('0', ''), ('10', '011'))
>-[<]>-o<<oo	(('', '0'), ('0', ''), ('00', '100'))
>[o<]<-[-o]	(('', '0'), ('0', ''), ('01', '100'))
-[-[<+]>o]	(('', '0'), ('0', ''), ('11', '100'))
+[+[<+o-]+>]	(('', '0'), ('0', ''), ('00', '101'))
>[o<]<-[<+]o	(('', '0'), ('0', ''), ('01', '101'))
-[+>+o-]<o	(('', '0'), ('0', ''), ('10', '101'))
>[o<-]<-[-o]	(('', '0'), ('0', ''), ('11', '101'))
>[>>]<-[<+o]	(('', '0'), ('0', ''), ('00', '110'))
-[-o]>o[o-]	(('', '0'), ('0', ''), ('01', '110'))
-[>+o+<+o]	(('', '0'), ('0', ''), ('10', '110'))
-[-o]>[<-o]o	(('', '0'), ('0', ''), ('00', '111'))
-[>+o<+oo]	(('', '0'), ('0', ''), ('10', '111'))
[>oo->]<+o	(('', '0'), ('0', ''), ('11', '111'))
[-ooo<]+<>o	(('', '0'), ('0', ''), ('1', '0000'))
-[>>+o[<+]oo]	(('', '0'), ('0', ''), ('1', '0001'))
-[>[o<]+o<+]	(('', '0'), ('0', ''), ('1', '0010'))
-[+>[o<-]+o<]	(('', '0'), ('0', ''), ('1', '0011'))
-[>+[o<+]o]	(('', '0'), ('0', ''), ('1', '0100'))
-[>[o<+]+<]o	(('', '0'), ('0', ''), ('1', '0101'))
-[>+o-<+oo]	(('', '0'), ('0', ''), ('1', '0110'))
-[>+[<+]+o>-]	(('', '0'), ('0', ''), ('1', '1000'))
-[+[o<+o]+o<]	(('', '0'), ('0', ''), ('1', '1001'))
-[+[o>]+o<o]	(('', '0'), ('0', ''), ('1', '1010'))
-[+[o<+]+o<]o	(('', '0'), ('0', ''), ('1', '1011'))
-[+[oo>]+o<]	(('', '0'), ('0', ''), ('1', '1100'))
-[+[o>]+<-]<o	(('', '0'), ('0', ''), ('1', '1101'))
-[+[<+]+o>oo]	(('', '0'), ('0', ''), ('1', '1110'))
-[+[oo<-]+o<]	(('', '0'), ('0', ''), ('1', '1111'))
-[o>]>oo	(('', '1'), ('0', ''), ('001', '00'))
>[>o-]<-o	(('', '1'), ('0', ''), ('010', '00'))
>[-o>]<-o	(('', '1'), ('0', ''), ('011', '00'))
>[>o>]<-o	(('', '1'), ('0', ''), ('001', '10'))
>[o-]<-o	(('', '1'), ('0', ''), ('011', '10'))
-[<]>o>o	(('', '1'), ('0', ''), ('011', '11'))
>[o<]-<-o	(('', '1'), ('0', ''), ('00', '000'))
->[<+o]<o	(('', '1'), ('0', ''), ('01', '000'))
>[<oo<]<-o	(('', '1'), ('0', ''), ('01', '001'))
-o>[o+]	(('', '1'), ('0', ''), ('10', '001'))
>[-o<]<-o	(('', '1'), ('0', ''), ('11', '001'))
>[o<+]<-o	(('', '1'), ('0', ''), ('00', '010'))
[>]<-[o<+]	(('', '1'), ('0', ''), ('01', '010'))
-[o+]>o	(('', '1'), ('0', ''), ('10', '010'))
>[o+o]<-o	(('', '1'), ('0', ''), ('00', '011'))
[>]<-[o+o]	(('', '1'), ('0', ''), ('01', '011'))
>[<+o]+<-o	(('', '1'), ('0', ''), ('00', '100'))
>[<+o-]<-o	(('', '1'), ('0', ''), ('00', '101'))
->[<+o]+<o	(('', '1'), ('0', ''), ('10', '101'))
->[o<]-<o	(('', '1'), ('0', ''), ('11', '101'))
>[+o<]-<-o	(('', '1'), ('0', ''), ('00', '110'))
>[+o<]<-o	(('', '1'), ('0', ''), ('00', '111'))
->[<-o]<o	(('', '1'), ('0', ''), ('01', '111'))
-[o+[<+o]]	(('', '1'), ('0', ''), ('1', '0001'))
-o+[-[o<-]]	(('', '1'), ('0', ''), ('1', '0010'))
-o+[-[o+o]]	(('', '1'), ('0', ''), ('1', '0011'))
-o[+[o-o]]	(('', '1'), ('0', ''), ('1', '0100'))
-o[+[o<+]]	(('', '1'), ('0', ''), ('1', '0101'))
-o[+o[o-]]	(('', '1'), ('0', ''), ('1', '0110'))
+[->]<-o-<ooo	(('', '1'), ('0', ''), ('1', '1000'))
-[>-o[<+]o]	(('', '1'), ('0', ''), ('1', '1001'))
-[+[o>]+<-o]	(('', '1'), ('0', ''), ('1', '1010'))
-[>>-[o<]-<+]	(('', '1'), ('0', ''), ('1', '1011'))
-[>-o-[<+o]]	(('', '1'), ('0', ''), ('1', '1100'))
-[>-[o+<+]]	(('', '1'), ('0', ''), ('1', '1101'))
-[>-o+<+oo]	(('', '1'), ('0', ''), ('1', '1111'))
+[o>]>oo	(('', '0'), ('1', ''), ('101', '00'))
>[>o>]<+o	(('', '0'), ('1', ''), ('110', '01'))
>[+o>]<+o	(('', '0'), ('1', ''), ('100', '11'))
>[>o+]<+o	(('', '0'), ('1', ''), ('101', '11'))
>[-o<]<+o	(('', '0'), ('1', ''), ('11', '000'))
>[o<-]<+o	(('', '0'), ('1', ''), ('10', '001'))
>[-o<]+<+o	(('', '0'), ('1', ''), ('11', '001'))
>[<-o+]<+o	(('', '0'), ('1', ''), ('11', '010'))
>[<-o]-<+o	(('', '0'), ('1', ''), ('11', '011'))
[>]<+[o-o]	(('', '0'), ('1', ''), ('10', '100'))
>[o-o]<+o	(('', '0'), ('1', ''), ('11', '100'))
[>]<+[o<-]	(('', '0'), ('1', ''), ('10', '101'))
+[+o]>>oo	(('', '1'), ('1', ''), ('110', '00'))
+[+o]>>o<o	(('', '1'), ('1', ''), ('110', '01'))
>+[<]+[<-o]	(('', '1'), ('1', ''), ('111', '01'))
+[<]+>[<+o]	(('', '1'), ('1', ''), ('100', '10'))
+[+<]>o>o	(('', '1'), ('1', ''), ('110', '10'))
+[+o]>ooo	(('', '1'), ('1', ''), ('10', '000'))
+[+o]>[<+o]o	(('', '1'), ('1', ''), ('11', '000'))
+[+o]>o[o+]	(('', '1'), ('1', ''), ('10', '001'))
>[>>]<+[<-o]	(('', '1'), ('1', ''), ('11', '001'))
>[o<]<+[<-]o	(('', '1'), ('1', ''), ('10', '010'))
-[-[<-o+]->]	(('', '1'), ('1', ''), ('11', '010'))
>+[<]>+o<<oo	(('', '1'), ('1', ''), ('11', '011'))
[->]<-o+<oo	(('', '1'), ('1', ''), ('10', '100'))
+[+o]>[o<+]	(('', '1'), ('1', ''), ('11', '100'))
[->]<+[+o<o]	(('', '1'), ('1', ''), ('10', '101'))
[>+>]+[<-o]	(('', '1'), ('1', ''), ('11', '101'))
<+[>]<+[o<]	(('', '1'), ('1', ''), ('10', '110'))
-[-[<-o]>]	(('', '1'), ('1', ''), ('11', '110'))
[->]<-o<>oo	(('', '1'), ('1', ''), ('10', '111'))
[>]<-o<o	(('0', ''), ('01', '00'), ('1', '0'))
-[>+o-<-oo]	(('', '0000'), ('0', ''), ('1', '0'))
-[>+o+[<-o]]	(('', '0011'), ('0', ''), ('1', '0'))
-[>>+[o<]+<-]	(('', '0100'), ('0', ''), ('1', '0'))
-[-[o>]-<+o]	(('', '0101'), ('0', ''), ('1', '0'))
-[>+o[<-]o]	(('', '0110'), ('0', ''), ('1', '0'))
[+>]<+o+<ooo	(('', '0111'), ('0', ''), ('1', '0'))
-o[-o[o+]]	(('', '1001'), ('0', ''), ('1', '0'))
-o[-[o<-]]	(('', '1010'), ('0', ''), ('1', '0'))
-o[-[o+o]]	(('', '1011'), ('0', ''), ('1', '0'))
-o-[+[o-o]]	(('', '1100'), ('0', ''), ('1', '0'))
-o-[+[o<+]]	(('', '1101'), ('0', ''), ('1', '0'))
-[o-[<-o]]	(('', '1110'), ('0', ''), ('1', '0'))
-[+o]>oo	(('0', ''), ('00', '00'), ('1', '1'))
-[<+]>[<+o]	(('0', ''), ('01', '00'), ('1', '1'))
[->[o<]-<]	(('0', ''), ('1', '1'), ('10', '00'))
-[>-o+[<o]]	(('0', ''), ('1', '1'), ('11', '00'))
-[+<]>[o+]	(('0', ''), ('00', '01'), ('1', '1'))
[-[<-o]->]	(('0', ''), ('01', '01'), ('1', '1'))
-[+>[>]<o]	(('0', ''), ('1', '1'), ('10', '01'))
>-[<+]-o<o	(('0', ''), ('00', '10'), ('1', '1'))
>+[<+]-o<o	(('0', ''), ('01', '10'), ('1', '1'))
-[+o>o>]	(('0', ''), ('1', '1'), ('10', '10'))
-[<-o>+>]	(('0', ''), ('1', '1'), ('11', '10'))
-[<]>[<-o]	(('0', ''), ('00', '11'), ('1', '1'))
-[-[oo<+]-o<]	(('', '0000'), ('0', ''), ('1', '1'))
-[+[<-o]+ooo]	(('', '0001'), ('0', ''), ('1', '1'))
-[-[o>]-<+]<o	(('', '0010'), ('0', ''), ('1', '1'))
-[-[oo>]-o<]	(('', '0011'), ('0', ''), ('1', '1'))
-[-[o<-]-o<]o	(('', '0100'), ('0', ''), ('1', '1'))
-[+[o>]+<+o]	(('', '0101'), ('0', ''), ('1', '1'))
-[-[o<-o]-o<]	(('', '0110'), ('0', ''), ('1', '1'))
-[>-[<-]-o>+]	(('', '0111'), ('0', ''), ('1', '1'))
-[>-o<-oo]	(('', '1000'), ('0', ''), ('1', '1'))
-[>-o+<-oo]	(('', '1001'), ('0', ''), ('1', '1'))
>+[+<-[>]<o]	(('', '1010'), ('0', ''), ('1', '1'))
-[>-[o<-]o]	(('', '1011'), ('0', ''), ('1', '1'))
-[->[o<+]-o<]	(('', '1100'), ('0', ''), ('1', '1'))
-[>[o<]-o<-]	(('', '1101'), ('0', ''), ('1', '1'))
-[>>-o[<-]oo]	(('', '1110'), ('0', ''), ('1', '1'))
+[+ooo<]-<>o	(('', '1111'), ('0', ''), ('1', '1'))
-[-oo]>>o	(('', '00'), ('0', ''), ('010', '0'))
>-[<]-<+o<o	(('', '00'), ('0', ''), ('000', '1'))
-[>>+o+<+]	(('', '00'), ('0', ''), ('110', '1'))
-[-[o<]]>o	(('', '00'), ('0', ''), ('111', '1'))
[-o<]+<>oo	(('', '00'), ('0', ''), ('1', '000'))
-[>+o<<+o]	(('', '00'), ('0', ''), ('1', '001'))
-[>+[o<+]<-]	(('', '00'), ('0', ''), ('1', '010'))
-[>+o<+]>o	(('', '00'), ('0', ''), ('1', '011'))
-[-[o<+]-o]	(('', '00'), ('0', ''), ('1', '100'))
-[+[o<+]+o<-]	(('', '00'), ('0', ''), ('1', '101'))
-[>+<+]>o[o-]	(('', '00'), ('0', ''), ('1', '110'))
<-[>]<-[<o]oo	(('', '00'), ('0', ''), ('1', '111'))
-[>+o<-]>>o	(('', '01'), ('0', ''), ('010', '0'))
+>-[<+]<o>o	(('', '01'), ('0', ''), ('000', '1'))
>-[-<]>[o+]	(('', '01'), ('0', ''), ('001', '1'))
-[>>+o<<-]	(('', '01'), ('0', ''), ('110', '1'))
-[>-[-o<o+]]	(('', '01'), ('0', ''), ('1', '000'))
-[-[<]+o+]	(('', '01'), ('0', ''), ('1', '001'))
-[>>+o<-<+]>o	(('', '01'), ('0', ''), ('1', '010'))
-[>+o<<-o]	(('', '01'), ('0', ''), ('1', '011'))
-[+[o<+o]<+o]	(('', '01'), ('0', ''), ('1', '100'))
-[-[<-]-o]	(('', '01'), ('0', ''), ('1', '101'))
-[-[o<-]<-oo]	(('', '01'), ('0', ''), ('1', '110'))
-[+[o<-o]<+o]	(('', '01'), ('0', ''), ('1', '111'))
-[o-]>>o	(('', '10'), ('0', ''), ('010', '0'))
-[o-]>[+o]	(('', '10'), ('0', ''), ('000', '1'))
-o[>+o-<+]	(('', '10'), ('0', ''), ('1', '000'))
-o[>+o<+]	(('', '10'), ('0', ''), ('1', '001'))
-[[o+]+o>]	(('', '10'), ('0', ''), ('1', '010'))
-[>+<o+]>o	(('', '10'), ('0', ''), ('1', '011'))
-[>-o-o+<+]	(('', '10'), ('0', ''), ('1', '100'))
-[>-o<-<+o]	(('', '10'), ('0', ''), ('1', '101'))
-[+[o+>]+<+]	(('', '10'), ('0', ''), ('1', '110'))
>+[+<+]>[o<-]	(('', '10'), ('0', ''), ('1', '111'))
>[>o]<-oo	(('', '11'), ('0', ''), ('010', '0'))
+[+oo]>>o	(('', '11'), ('0', ''), ('101', '1'))
-[o+<-]>o	(('', '11'), ('0', ''), ('1', '011'))
-[>-o<+]>o	(('', '11'), ('0', ''), ('1', '100'))
